IDLavorazione,IDArticolo,IDParam,Tipo_Param,Attrezzi_Param,Impostazione_Param,Param1,Param2,Param3,OP,DOC,DUM,Param4,Param5,Param6,Param7,Param8,Param9
SAL,IN203236,450,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,24/02/2022 12:37:32,24/02/2022 12:48:12,,,,,,
SAL,FNX0258972,451,MICORMIG 350,3.0,sal angoli e pulire,,,,ALESSANDRO,24/02/2022 16:44:34,24/02/2022 16:44:51,,,,,,
SAL,FNY8533285,452,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,24/02/2022 16:48:25,24/02/2022 16:48:37,,,,,,
SAL,FNY8583799,453,MICORMIG 350,1.8,sal angoli e pulire,,,,ALESSANDRO,24/02/2022 17:06:28,24/02/2022 17:06:44,,,,,,
SAL,FNX0258974,454,MICORMIG 350,3.5,sal angoli e pulire,,,,ALESSANDRO,02/03/2022 10:39:18,02/03/2022 10:39:36,,,,,,
SAL,FNX2286012,456,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,04/03/2022 13:05:43,04/03/2022 13:05:56,,,,,,
SAL,FNX2286013,457,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,04/03/2022 16:37:41,04/03/2022 16:37:52,,,,,,
SAL,FNX2286105,458,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,05/03/2022 09:18:07,05/03/2022 09:18:19,,,,,,
SAL,FNX2286106,459,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,05/03/2022 10:41:48,05/03/2022 10:41:59,,,,,,
SAL,FNY8440172,460,MICORMIG 350,2.5,sal strappi,,,,ALESSANDRO,07/03/2022 08:04:01,07/03/2022 08:04:13,,,,,,
SAL,FNY8440176,462,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,09/03/2022 15:01:11,09/03/2022 15:01:28,,,,,,
SAL,FNY8584262,463,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,09/03/2022 15:02:00,09/03/2022 15:02:10,,,,,,
SAL,05L0372555L,464,MICORMIG 350,1.8,sal strappi,,,,ALESSANDRO,10/03/2022 07:54:53,10/03/2022 07:55:10,,,,,,
SAL,FNX2286342,470,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,25/03/2022 09:19:49,25/03/2022 09:20:06,,,,,,
SAL,FNX2286339,471,MICORMIG 350,1.8,sal strappi pulire est.,,,,ALESSANDRO,25/03/2022 09:20:26,25/03/2022 09:20:43,,,,,,
